time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/learning_rate,train/explained_variance,train/value_loss,train/n_updates,train/policy_loss,train/entropy_loss,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean
8153,1310,10,83840,0.0007,0.8537992835044861,3.652005195617676,1309,2.2356245517730713,-2.0394809246063232,0.01,-14.05735573,150.0
8152,1311,10,83904,0.0007,0.9201595783233643,1.445456862449646,1310,-0.7125461101531982,-2.060408115386963,0.01,-14.05735573,150.0
8152,1312,10,83968,0.0007,0.9053052663803101,1.4468519687652588,1311,-2.031729221343994,-2.0785608291625977,0.01,-14.05735573,150.0
8152,1313,10,84032,0.0007,0.8282387256622314,0.9920521974563599,1312,-1.849386215209961,-2.0722579956054688,0.01,-13.95945104,150.0
8152,1314,10,84096,0.0007,0.983785092830658,0.6791138052940369,1313,-0.12993502616882324,-1.989220142364502,0.01,-13.95945104,150.0
8153,1315,10,84160,0.0007,0.3820112347602844,1.6047606468200684,1314,1.1795639991760254,-1.9447911977767944,0.01,-13.95945104,150.0
8153,1316,10,84224,0.0007,0.4432346820831299,4.530072212219238,1315,1.397284746170044,-1.9899814128875732,0.01,-13.95945104,150.0
8154,1317,10,84288,0.0007,0.8711191415786743,2.3086092472076416,1316,-2.289926767349243,-2.022536039352417,0.01,-13.95945104,150.0
8154,1318,10,84352,0.0007,0.7874729633331299,0.6135269999504089,1317,-0.15138515830039978,-2.048870086669922,0.01,-13.95945104,150.0
8155,1319,10,84416,0.0007,0.8113911747932434,0.5276167988777161,1318,0.6707478165626526,-2.036942958831787,0.01,-13.95945104,150.0
8156,1320,10,84480,0.0007,0.13388830423355103,1.0608967542648315,1319,-1.230361819267273,-2.050915241241455,0.01,-13.95945104,150.0
8157,1321,10,84544,0.0007,-2.9379124641418457,0.37166938185691833,1320,-0.7149388194084167,-2.071049690246582,0.01,-13.95945104,150.0
8157,1322,10,84608,0.0007,-0.032160401344299316,0.47808098793029785,1321,-0.8783444166183472,-2.061617374420166,0.0,-14.07484117,150.0
8158,1323,10,84672,0.0007,0.9802640676498413,0.4911653399467468,1322,0.2554820775985718,-2.052657127380371,0.0,-14.07484117,150.0
8159,1324,10,84736,0.0007,-0.8541125059127808,2.603027582168579,1323,-1.056791067123413,-1.9624239206314087,0.0,-14.07484117,150.0
8160,1325,10,84800,0.0007,-0.8837440013885498,1.234745740890503,1324,-1.0056405067443848,-2.0564193725585938,0.0,-14.07484117,150.0
8161,1326,10,84864,0.0007,0.5262171030044556,0.7155216932296753,1325,-0.11999642848968506,-2.081428050994873,0.0,-14.07484117,150.0
8161,1327,10,84928,0.0007,0.7864160537719727,0.556218147277832,1326,-0.21581465005874634,-2.058764934539795,0.0,-14.07484117,150.0
8162,1328,10,84992,0.0007,0.4080706834793091,0.8184637427330017,1327,-0.3894804120063782,-2.054642915725708,0.0,-14.07484117,150.0
8163,1329,10,85056,0.0007,0.19679218530654907,0.38777241110801697,1328,0.6709007620811462,-2.0766029357910156,0.0,-14.07484117,150.0
8164,1330,10,85120,0.0007,0.237545907497406,0.30618172883987427,1329,0.7870738506317139,-2.091826915740967,0.0,-14.07484117,150.0
8165,1331,10,85184,0.0007,0.23305296897888184,0.16037914156913757,1330,0.0891888365149498,-2.0714728832244873,0.0,-14.07484117,150.0
8165,1332,10,85248,0.0007,0.08474743366241455,0.6969451308250427,1331,-0.3826785385608673,-2.109661102294922,0.0,-14.208107499999999,150.0
8166,1333,10,85312,0.0007,0.9899640679359436,0.25613921880722046,1332,-0.421902596950531,-2.014894723892212,0.0,-14.208107499999999,150.0
8167,1334,10,85376,0.0007,0.7701844573020935,0.15331381559371948,1333,-0.003924284130334854,-2.0472450256347656,0.0,-14.208107499999999,150.0
8168,1335,10,85440,0.0007,0.6085827350616455,1.168576717376709,1334,0.12244587391614914,-2.0021445751190186,0.0,-14.208107499999999,150.0
8169,1336,10,85504,0.0007,-0.3351372480392456,0.782691240310669,1335,0.2948848605155945,-2.0052387714385986,0.0,-14.208107499999999,150.0
8170,1337,10,85568,0.0007,0.14654701948165894,2.3204050064086914,1336,1.886805772781372,-2.0197815895080566,0.0,-14.208107499999999,150.0
8170,1338,10,85632,0.0007,0.6703817248344421,0.9312573075294495,1337,0.20534254610538483,-2.051576852798462,0.0,-14.208107499999999,150.0
8171,1339,10,85696,0.0007,0.7849172353744507,0.39169207215309143,1338,-0.673087477684021,-2.035367727279663,0.0,-14.208107499999999,150.0
8172,1340,10,85760,0.0007,0.6522505879402161,0.29740235209465027,1339,-0.6607359647750854,-2.048011064529419,0.0,-14.208107499999999,150.0
8173,1341,10,85824,0.0007,0.4645324945449829,0.11615929007530212,1340,-0.19040656089782715,-2.0363717079162598,0.0,-14.104632509999998,150.0
8174,1342,10,85888,0.0007,0.9953974485397339,0.1638062447309494,1341,-0.39656633138656616,-1.9731756448745728,0.0,-14.104632509999998,150.0
8174,1343,10,85952,0.0007,0.8251544833183289,0.44400691986083984,1342,-0.4279477596282959,-1.8321365118026733,0.0,-14.104632509999998,150.0
8175,1344,10,86016,0.0007,-0.3632967472076416,7.351761817932129,1343,2.9635045528411865,-1.863431692123413,0.0,-14.104632509999998,150.0
8175,1345,10,86080,0.0007,0.6790933609008789,1.2158766984939575,1344,0.16876298189163208,-1.9217731952667236,0.0,-14.104632509999998,150.0
8176,1346,10,86144,0.0007,0.8494253754615784,0.7743253707885742,1345,-0.8630199432373047,-1.9378718137741089,0.0,-14.104632509999998,150.0
8177,1347,10,86208,0.0007,0.6398173570632935,3.2565784454345703,1346,1.7455114126205444,-1.9216092824935913,0.0,-14.104632509999998,150.0
8178,1348,10,86272,0.0007,0.8656609058380127,0.34531286358833313,1347,-0.14504344761371613,-1.9345948696136475,0.0,-14.104632509999998,150.0
8179,1349,10,86336,0.0007,0.9378108382225037,0.17368575930595398,1348,-0.5960791110992432,-1.998077630996704,0.0,-14.104632509999998,150.0
8179,1350,10,86400,0.0007,0.58130943775177,0.3150930404663086,1349,-0.4324779212474823,-2.028514862060547,0.0,-14.18082808,150.0
8180,1351,10,86464,0.0007,0.3085365295410156,0.16727890074253082,1350,-0.5418931245803833,-2.0499212741851807,0.0,-14.18082808,150.0
8180,1352,10,86528,0.0007,0.7866037487983704,0.7955901622772217,1351,1.2092880010604858,-1.8099274635314941,0.0,-14.18082808,150.0
8181,1353,10,86592,0.0007,0.844817042350769,0.9111026525497437,1352,1.52214515209198,-1.8607287406921387,0.0,-14.18082808,150.0
8182,1354,10,86656,0.0007,0.92180335521698,0.5258406400680542,1353,0.905267596244812,-1.9354112148284912,0.0,-14.18082808,150.0
8182,1355,10,86720,0.0007,0.9230444431304932,0.544649064540863,1354,0.8635169267654419,-2.0012495517730713,0.0,-14.18082808,150.0
8183,1356,10,86784,0.0007,0.7065471410751343,2.5555601119995117,1355,1.3023278713226318,-2.027080774307251,0.0,-14.18082808,150.0
8184,1357,10,86848,0.0007,0.881497323513031,2.494460105895996,1356,-1.0949327945709229,-1.9710338115692139,0.0,-14.18082808,150.0
8184,1358,10,86912,0.0007,0.9521183371543884,1.9641830921173096,1357,-1.605433464050293,-1.9317107200622559,0.0,-14.18082808,150.0
8185,1359,10,86976,0.0007,0.8921327590942383,1.788987636566162,1358,-1.899291753768921,-1.9829950332641602,0.0,-14.18082808,150.0
8185,1360,10,87040,0.0007,0.8752562403678894,1.3124386072158813,1359,-1.9553020000457764,-2.012801170349121,0.0,-14.155993899999999,150.0
8185,1361,10,87104,0.0007,0.996575653553009,0.11598799377679825,1360,0.16736088693141937,-1.8933568000793457,0.0,-14.155993899999999,150.0
8186,1362,10,87168,0.0007,0.7176711559295654,1.5573619604110718,1361,0.35754597187042236,-1.8564331531524658,0.0,-14.155993899999999,150.0
8186,1363,10,87232,0.0007,0.6198258399963379,2.271517276763916,1362,0.2385033518075943,-1.9306319952011108,0.0,-14.155993899999999,150.0
8187,1364,10,87296,0.0007,-0.13996708393096924,2.7143921852111816,1363,0.6766632795333862,-1.9470951557159424,0.0,-14.155993899999999,150.0
8188,1365,10,87360,0.0007,0.8253546953201294,1.7722198963165283,1364,-1.743396520614624,-1.986279010772705,0.0,-14.155993899999999,150.0
8188,1366,10,87424,0.0007,0.9362869262695312,0.7942596673965454,1365,-1.5104682445526123,-2.02689266204834,0.0,-14.155993899999999,150.0
8189,1367,10,87488,0.0007,0.8293811082839966,0.261364221572876,1366,-0.24507643282413483,-2.007205009460449,0.0,-14.155993899999999,150.0
8190,1368,10,87552,0.0007,0.8068019151687622,0.33638256788253784,1367,0.8717941045761108,-2.0584468841552734,0.0,-14.155993899999999,150.0
8191,1369,10,87616,0.0007,0.20814818143844604,0.21605506539344788,1368,0.4051535725593567,-2.0657737255096436,0.0,-14.2520775,150.0
8192,1370,10,87680,0.0007,0.9964098334312439,0.11778849363327026,1369,-0.04258766025304794,-2.0315282344818115,0.0,-14.2520775,150.0
8193,1371,10,87744,0.0007,0.695488691329956,2.8697495460510254,1370,-2.322551965713501,-1.895925760269165,0.0,-14.2520775,150.0
8193,1372,10,87808,0.0007,0.4047447443008423,7.821778774261475,1371,3.40964412689209,-1.9415967464447021,0.0,-14.2520775,150.0
8194,1373,10,87872,0.0007,0.9260991811752319,0.7044098973274231,1372,-0.03397645801305771,-1.9866851568222046,0.0,-14.2520775,150.0
8194,1374,10,87936,0.0007,0.9124603867530823,0.874527633190155,1373,0.07608239352703094,-1.999708890914917,0.0,-14.2520775,150.0
8195,1375,10,88000,0.0007,0.6653679609298706,1.8768887519836426,1374,1.2889070510864258,-1.9844063520431519,0.0,-14.2520775,150.0
8195,1376,10,88064,0.0007,0.6049269437789917,1.7897017002105713,1375,-1.506380319595337,-1.9717497825622559,0.0,-14.2520775,150.0
8196,1377,10,88128,0.0007,0.48537468910217285,0.9266460537910461,1376,-0.7811668515205383,-2.0001842975616455,0.0,-14.2520775,150.0
8196,1378,10,88192,0.0007,0.28483808040618896,0.572996973991394,1377,0.27493008971214294,-2.0147922039031982,0.0,-14.2520775,150.0
8197,1379,10,88256,0.0007,0.3453636169433594,0.2448994666337967,1378,0.02651962637901306,-2.043548107147217,0.0,-14.476322819999998,150.0
8198,1380,10,88320,0.0007,0.9698910713195801,0.9760185480117798,1379,1.2146774530410767,-1.8859403133392334,0.0,-14.476322819999998,150.0
8198,1381,10,88384,0.0007,0.19833362102508545,1.8102728128433228,1380,-1.6340265274047852,-1.9186630249023438,0.0,-14.476322819999998,150.0
8199,1382,10,88448,0.0007,0.19310450553894043,6.305561542510986,1381,0.6672955751419067,-1.9850703477859497,0.0,-14.476322819999998,150.0
8199,1383,10,88512,0.0007,0.8222945928573608,1.6391258239746094,1382,-1.0150316953659058,-2.0104880332946777,0.0,-14.476322819999998,150.0
8200,1384,10,88576,0.0007,0.8953904509544373,1.1013092994689941,1383,0.8079341650009155,-2.0407867431640625,0.0,-14.476322819999998,150.0
8202,1385,10,88640,0.0007,0.9706636071205139,0.29795578122138977,1384,-0.237803116440773,-2.0259506702423096,0.0,-14.476322819999998,150.0
8202,1386,10,88704,0.0007,0.9010529518127441,0.5889830589294434,1385,-1.0994246006011963,-2.0527029037475586,0.0,-14.476322819999998,150.0
8203,1387,10,88768,0.0007,0.5808749794960022,0.46788108348846436,1386,-0.8080205917358398,-2.056868076324463,0.0,-14.476322819999998,150.0
