time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/success_rate,time/iterations,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss
75776,150.0,0.33363152999999984,5022,15,0.25,74,-1.5641377590596677,0.2,-0.03498371460882481,0.001,-0.02686815708875656,0.5529571771621704,0.030098945,0.2966796875,730,0.4398122536716983
76800,150.0,0.2873139999999998,5015,15,0.25,75,-1.5804886870086192,0.2,-0.03365831733681261,0.001,-0.033397115767002106,0.5056151747703552,0.042801596,0.35703125,740,0.28185907581355424
77824,150.0,0.18577931999999994,5017,15,0.23,76,-1.6600841149687766,0.2,-0.03782295285491273,0.001,-0.033066824078559875,0.7007392644882202,0.034280222,0.31962890625,750,0.2876773071475327
78848,150.0,-0.2894374599999998,5019,15,0.22,77,-1.5299619078636169,0.2,-0.03018511772097554,0.001,0.023778192698955536,0.7704399228096008,0.04126557,0.31064453125,760,0.2515518836444244
79872,150.0,-0.2018450699999998,5014,15,0.23,78,-1.6232882097363472,0.2,-0.02415298907435499,0.001,-0.022172696888446808,0.6778751611709595,0.033684112,0.33515625,770,0.35853833095170556
80896,150.0,-0.2792250999999999,5014,16,0.22,79,-1.5735390961170197,0.2,-0.03285780500737019,0.001,-0.020842764526605606,0.7897101640701294,0.03126759,0.336328125,780,0.33377651632763444
81920,150.0,-0.22511712000000003,5013,16,0.23,80,-1.5750765018165112,0.2,-0.02694844733341597,0.001,-0.029818948358297348,0.7893198728561401,0.033532128,0.31787109375,790,0.31937286974862217
82944,150.0,-0.10023808000000017,5008,16,0.23,81,-1.5981584280729293,0.2,-0.026878189275157637,0.001,-0.0013692192733287811,0.907141923904419,0.048195157,0.29814453125,800,0.2763381609460339
83968,150.0,-0.06612171000000006,5010,16,0.21,82,-1.5870657563209534,0.2,-0.025568573523196393,0.001,-0.02018003538250923,0.8014233112335205,0.033390865,0.2900390625,810,0.3085871789371595
84992,150.0,-0.3699150499999998,5011,16,0.21,83,-1.6189818039536477,0.2,-0.02763003239524551,0.001,-0.022972233593463898,0.8443310260772705,0.02965394,0.2892578125,820,0.3125677161850035
86016,150.0,-0.48210628000000005,5011,17,0.2,84,-1.5212827906012536,0.2,-0.02997147036367096,0.001,0.014214344322681427,0.751874566078186,0.026564263,0.29775390625,830,0.46009371117688713
87040,150.0,-0.4508999499999997,5012,17,0.18,85,-1.560376839339733,0.2,-0.02912293875415344,0.001,-0.049559336155653,0.7374644875526428,0.02440838,0.27900390625,840,0.26610744239296763
88064,150.0,-0.14708265999999978,5013,17,0.19,86,-1.540199340134859,0.2,-0.02481526509509422,0.001,-0.025330714881420135,0.7068370580673218,0.03135188,0.2986328125,850,0.4490910706110299
89088,150.0,0.04767858000000027,5013,17,0.18,87,-1.4931364856660365,0.2,-0.028529814473586157,0.001,-0.015826087445020676,0.880014181137085,0.029279463,0.29873046875,860,0.2882918410934508
90112,150.0,0.6544327200000001,5013,17,0.22,88,-1.5033013828098774,0.2,-0.02309117007534951,0.001,-0.017094414681196213,0.7237568497657776,0.049155988,0.29140625,870,0.2986514893360436
91136,150.0,0.28097950999999993,5014,18,0.21,89,-1.4286252416670322,0.2,-0.021391370316268876,0.001,0.12960819900035858,0.7991315126419067,0.024466919,0.2685546875,880,0.5658936013001948
92160,150.0,0.4863182800000002,5000,18,0.22,90,-1.502625648677349,0.2,-0.03200077763176523,0.001,-0.03999316692352295,0.8596201539039612,0.053150933,0.3228515625,890,0.23025934854522348
93184,150.0,0.8309370900000002,5002,18,0.23,91,-1.5193036690354347,0.2,-0.028094512957613914,0.001,0.031058503314852715,0.8099136352539062,0.04253447,0.3015625,900,0.27757944690529257
94208,150.0,1.0076973700000003,5004,18,0.23,92,-1.3678486064076423,0.2,-0.021710473380517216,0.001,0.06835225224494934,0.6869935989379883,0.030764757,0.24921875,910,0.41858752397820354
95232,150.0,1.43538889,5005,19,0.25,93,-1.4798343069851398,0.2,-0.029274336929665877,0.001,0.02522258833050728,0.7488443851470947,0.049848583,0.3337890625,920,0.31066600035410374
96256,150.0,1.62845123,5006,19,0.25,94,-1.3355015315115453,0.2,-0.0303449313796591,0.001,-0.02513175457715988,0.5625839233398438,0.041875698,0.3193359375,930,0.36917882729321716
97280,150.0,1.2836278700000003,5007,19,0.24,95,-1.5083421722054482,0.2,-0.02724892779951915,0.001,0.056504927575588226,0.41228359937667847,0.027992062,0.27890625,940,0.4420462797395885
98304,150.0,1.11037084,5008,19,0.23,96,-1.5186385057866574,0.2,-0.040754010563250634,0.001,-0.063560351729393,0.6568616628646851,0.037297532,0.33603515625,950,0.2539852022659034
99328,150.0,1.59137805,5009,19,0.24,97,-1.370691678673029,0.2,-0.02398237683228217,0.001,-0.03560704365372658,0.6982750296592712,0.045331318,0.33837890625,960,0.2682992369169369
100352,150.0,1.3469956000000003,5007,20,0.23,98,-1.341528233140707,0.2,-0.03290694824536331,0.001,0.013534432277083397,0.5422430038452148,0.045536846,0.356640625,970,0.22814864239189775
