time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/entropy_loss,train/policy_loss,train/explained_variance,train/value_loss,train/learning_rate,train/n_updates,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean
2040,9743,0,102,-1.9575374126434326,0.06976345181465149,0.6845941543579102,0.003224595682695508,0.0007,101,0.0,-23.436808875,200.0
2060,9746,0,103,-1.9486477375030518,0.02948528528213501,0.35720646381378174,0.0013646276202052832,0.0007,102,0.0,-23.436808875,200.0
2080,9737,0,104,-1.9415695667266846,0.04298912733793259,0.837261438369751,0.0006549911922775209,0.0007,103,0.0,-23.436808875,200.0
2100,9738,0,105,-1.9500125646591187,0.04477749764919281,0.641091525554657,0.00227151601575315,0.0007,104,0.0,-23.436808875,200.0
2120,9743,0,106,-1.9394071102142334,0.06984162330627441,0.622422993183136,0.0025665119756013155,0.0007,105,0.0,-23.436808875,200.0
2140,9746,0,107,-1.935410737991333,0.07562921196222305,0.7564767003059387,0.002131724962964654,0.0007,106,0.0,-23.436808875,200.0
2160,9750,0,108,-1.9337488412857056,0.07711915671825409,0.7595451474189758,0.002186669735237956,0.0007,107,0.0,-23.436808875,200.0
2180,9755,0,109,-1.9383958578109741,0.05160655453801155,0.8032069802284241,0.001422193250618875,0.0007,108,0.0,-23.436808875,200.0
2200,9759,0,110,-1.9265724420547485,-0.04166056960821152,0.6295366287231445,0.000939995632506907,0.0007,109,0.0,-23.436808875,200.0
2220,9763,0,111,-1.9168155193328857,0.05052543804049492,0.615843653678894,0.0014958804240450263,0.0007,110,0.0,-23.436808875,200.0
2240,9766,0,112,-1.9161818027496338,0.007506057620048523,0.9304018616676331,0.00016512893489561975,0.0007,111,0.0,-23.436808875,200.0
2260,9763,0,113,-1.92093026638031,-0.025032227858901024,0.6946512460708618,0.0009440897265449166,0.0007,112,0.0,-23.436808875,200.0
2280,9766,0,114,-1.9185291528701782,-0.007332724519073963,0.8024113774299622,0.0008391000446863472,0.0007,113,0.0,-23.436808875,200.0
2300,9771,0,115,-1.907718300819397,0.014893680810928345,-0.07975900173187256,0.0029833796434104443,0.0007,114,0.0,-23.436808875,200.0
2320,9774,0,116,-1.922265648841858,-0.038284651935100555,0.7253907918930054,0.00245736469514668,0.0007,115,0.0,-23.436808875,200.0
2340,9780,0,117,-1.9123365879058838,-0.06608925014734268,0.3383737802505493,0.009593981318175793,0.0007,116,0.0,-23.436808875,200.0
2360,9783,0,118,-1.9176108837127686,0.018934961408376694,0.7355774641036987,0.0005890905158594251,0.0007,117,0.0,-23.436808875,200.0
2380,9782,0,119,-1.9122364521026611,0.058881454169750214,0.8179705142974854,0.0014273750130087137,0.0007,118,0.0,-23.664099299999997,198.8
2400,9783,0,120,-1.9213718175888062,2.626950740814209,0.5169775485992432,4.7585649490356445,0.0007,119,0.0,-23.742507749999998,198.41666666666666
2420,9787,0,121,-1.9354276657104492,0.40584588050842285,0.8777123689651489,1.0911195278167725,0.0007,120,0.0,-23.742507749999998,198.41666666666666
2440,9785,0,122,-1.9103343486785889,-0.32848960161209106,0.0015546679496765137,0.03648979216814041,0.0007,121,0.0,-23.742507749999998,198.41666666666666
2460,9789,0,123,-1.8973064422607422,-0.3222781717777252,0.0221405029296875,0.04044535756111145,0.0007,122,0.0,-23.742507749999998,198.41666666666666
2480,9793,0,124,-1.8977826833724976,-0.4048421382904053,0.037799179553985596,0.048409510403871536,0.0007,123,0.0,-23.742507749999998,198.41666666666666
2500,9780,0,125,-1.8791272640228271,-0.3873524069786072,0.09008604288101196,0.047843776643276215,0.0007,124,0.0,-23.742507749999998,198.41666666666666
2520,9778,0,126,-1.8722003698349,-0.37326580286026,0.12759214639663696,0.05798228457570076,0.0007,125,0.0,-23.742507749999998,198.41666666666666
2540,9781,0,127,-1.8882808685302734,-0.3954489529132843,0.22337108850479126,0.06160612031817436,0.0007,126,0.0,-23.742507749999998,198.41666666666666
2560,9784,0,128,-1.8965657949447632,-0.44828861951828003,0.34129494428634644,0.06469181925058365,0.0007,127,0.0,-23.742507749999998,198.41666666666666
2580,9786,0,129,-1.8925855159759521,-0.335275262594223,0.632446825504303,0.05124591663479805,0.0007,128,0.0,-23.742507749999998,198.41666666666666
2600,9778,0,130,-1.9086166620254517,-0.22067637741565704,0.812127411365509,0.029304200783371925,0.0007,129,0.0,-23.742507749999998,198.41666666666666
2620,9778,0,131,-1.9319368600845337,0.005304438062012196,0.8821021914482117,0.023085223510861397,0.0007,130,0.0,-23.742507749999998,198.41666666666666
2640,9781,0,132,-1.9170513153076172,0.7019144296646118,0.9387124180793762,0.227402001619339,0.0007,131,0.0,-23.742507749999998,198.41666666666666
2660,9784,0,133,-1.8985624313354492,0.01999565213918686,0.9533507823944092,0.012500313110649586,0.0007,132,0.0,-23.742507749999998,198.41666666666666
2680,9786,0,134,-1.8822238445281982,-0.30861520767211914,0.9285783767700195,0.03592819720506668,0.0007,133,0.0,-23.742507749999998,198.41666666666666
2700,9789,0,135,-1.888521432876587,-0.21471109986305237,0.9300330877304077,0.017075389623641968,0.0007,134,0.0,-23.742507749999998,198.41666666666666
2720,9791,0,136,-1.890000581741333,-0.24558505415916443,0.8701169490814209,0.01864382065832615,0.0007,135,0.0,-23.742507749999998,198.41666666666666
2740,9794,0,137,-1.8726675510406494,-0.16354602575302124,0.7707507610321045,0.020300468429923058,0.0007,136,0.0,-23.742507749999998,198.41666666666666
2760,9798,0,138,-1.903405785560608,-0.0835948958992958,0.8258336782455444,0.0034313995856791735,0.0007,137,0.0,-23.742507749999998,198.41666666666666
2780,9798,0,139,-1.9098796844482422,-0.0653887540102005,0.8374935984611511,0.0018797209486365318,0.0007,138,0.0,-23.742507749999998,198.41666666666666
2800,9798,0,140,-1.919664740562439,-0.07828574627637863,0.5646427869796753,0.003908240702003241,0.0007,139,0.0,-23.742507749999998,198.41666666666666
2820,9796,0,141,-1.9340368509292603,-0.030135557055473328,0.5248373746871948,0.0020052758045494556,0.0007,140,0.0,-23.742507749999998,198.41666666666666
2840,9798,0,142,-1.9395908117294312,-0.03051907941699028,0.8272513747215271,0.000451353145763278,0.0007,141,0.0,-23.742507749999998,198.41666666666666
2860,9801,0,143,-1.9384326934814453,0.0027665928937494755,0.7279789447784424,0.0009398640831932425,0.0007,142,0.0,-23.742507749999998,198.41666666666666
2880,9805,0,144,-1.9383465051651,0.03384669870138168,0.052924513816833496,0.0024563295301049948,0.0007,143,0.0,-23.742507749999998,198.41666666666666
2900,9805,0,145,-1.959011435508728,0.00771996658295393,0.007342696189880371,0.0031641721725463867,0.0007,144,0.0,-23.742507749999998,198.41666666666666
2920,9807,0,146,-1.9746034145355225,0.08260707557201385,0.20336824655532837,0.002830612240359187,0.0007,145,0.0,-23.742507749999998,198.41666666666666
2940,9809,0,147,-1.980934500694275,0.09771983325481415,0.5230149030685425,0.0035654492676258087,0.0007,146,0.0,-23.742507749999998,198.41666666666666
2960,9810,0,148,-1.9682025909423828,0.05680446699261665,0.37602752447128296,0.0029186999890953302,0.0007,147,0.0,-23.742507749999998,198.41666666666666
2980,9811,0,149,-1.967625617980957,0.09032721817493439,0.43411481380462646,0.0034894156269729137,0.0007,148,0.0,-23.742507749999998,198.41666666666666
3000,9809,0,150,-1.9620416164398193,0.05673881620168686,0.3039819598197937,0.0012595999287441373,0.0007,149,0.0,-23.742507749999998,198.41666666666666
3020,9811,0,151,-1.9691879749298096,-0.001699990825727582,0.07790613174438477,0.0009497327846474946,0.0007,150,0.0,-23.742507749999998,198.41666666666666
3040,9814,0,152,-1.9689114093780518,-0.03252910450100899,0.48607027530670166,0.002322861459106207,0.0007,151,0.0,-23.742507749999998,198.41666666666666
3060,9817,0,153,-1.9799444675445557,0.024386802688241005,0.289314329624176,0.0009365699370391667,0.0007,152,0.0,-23.742507749999998,198.41666666666666
3080,9818,0,154,-1.9883594512939453,0.03540967032313347,0.4769577980041504,0.0015499667497351766,0.0007,153,0.0,-23.742507749999998,198.41666666666666
3100,9821,0,155,-1.9903080463409424,-0.017638493329286575,0.6441582441329956,0.0008941333508118987,0.0007,154,0.0,-23.742507749999998,198.41666666666666
3120,9824,0,156,-1.997028112411499,0.03372228890657425,0.46979647874832153,0.0011200163280591369,0.0007,155,0.0,-23.742507749999998,198.41666666666666
3140,9823,0,157,-2.0037899017333984,-0.010288305580615997,0.517760694026947,0.0016292959917336702,0.0007,156,0.0,-23.77551684615384,197.53846153846155
3160,9822,0,158,-2.0090012550354004,0.8964296579360962,0.7472617626190186,1.3949934244155884,0.0007,157,0.0,-23.80431333333333,196.93333333333334
3180,9823,0,159,-2.0210506916046143,1.3656501770019531,0.8603219985961914,2.454084873199463,0.0007,158,0.0,-23.8595620625,196.75
3200,9826,0,160,-2.0142269134521484,-0.07468318939208984,0.9051268100738525,0.33975449204444885,0.0007,159,0.0,-23.8595620625,196.75
3220,9829,0,161,-2.008686065673828,-0.3534891903400421,-0.02020847797393799,0.043580055236816406,0.0007,160,0.0,-23.8595620625,196.75
3240,9831,0,162,-2.0124707221984863,-0.4274511933326721,0.03441113233566284,0.04155060276389122,0.0007,161,0.0,-23.8595620625,196.75
3260,9832,0,163,-1.9799522161483765,-0.42849117517471313,0.01389855146408081,0.0650276467204094,0.0007,162,0.0,-23.8595620625,196.75
3280,9835,0,164,-1.9883562326431274,-0.3918248116970062,0.0877646803855896,0.05647692084312439,0.0007,163,0.0,-23.8595620625,196.75
3300,9837,0,165,-1.9988288879394531,-0.4147412180900574,0.41385066509246826,0.05493392422795296,0.0007,164,0.0,-23.8595620625,196.75
3320,9831,0,166,-1.9976084232330322,-0.3806905746459961,0.6269257068634033,0.04964926093816757,0.0007,165,0.0,-23.8595620625,196.75
3340,9833,0,167,-1.9906200170516968,-0.2305724322795868,0.812768280506134,0.03164396807551384,0.0007,166,0.0,-23.8595620625,196.75
3360,9835,0,168,-1.9759619235992432,-0.03326459601521492,0.8684292435646057,0.05767107754945755,0.0007,167,0.0,-23.8595620625,196.75
3380,9834,0,169,-1.940014123916626,0.559188723564148,0.9904099106788635,0.07769612967967987,0.0007,168,0.0,-23.8595620625,196.75
3400,9821,0,170,-1.9681352376937866,0.14171914756298065,0.9512054920196533,0.04345294088125229,0.0007,169,0.0,-23.8595620625,196.75
3420,9813,0,171,-1.942702293395996,-0.27740922570228577,0.9649333357810974,0.030684281140565872,0.0007,170,0.0,-23.8595620625,196.75
3440,9809,0,172,-1.943415880203247,-0.24125489592552185,0.9693852066993713,0.022319788113236427,0.0007,171,0.0,-23.8595620625,196.75
3460,9810,0,173,-1.9647773504257202,-0.3619430363178253,0.9135711789131165,0.03775786608457565,0.0007,172,0.0,-23.8595620625,196.75
3480,9801,0,174,-1.9380533695220947,-0.30545753240585327,0.8791576623916626,0.024628013372421265,0.0007,173,0.0,-23.8595620625,196.75
3500,9800,0,175,-1.9044939279556274,-0.14421884715557098,0.8649412393569946,0.009329010732471943,0.0007,174,0.0,-23.8595620625,196.75
3520,9800,0,176,-1.9193212985992432,-0.12331037223339081,0.8120511174201965,0.005527469329535961,0.0007,175,0.0,-23.8595620625,196.75
