time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/explained_variance,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/policy_loss,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean
8499,87872,10,1373,0.9252533316612244,0.0003,0.363129198551178,1372,-2.0695056915283203,-0.3578110337257385,0.0,150.0,-17.336555970000003
8499,87936,10,1374,0.8811533451080322,0.0003,0.7219110727310181,1373,-2.0693764686584473,0.8636759519577026,0.0,150.0,-17.336555970000003
8500,88000,10,1375,0.3821221590042114,0.0003,1.9292993545532227,1374,-2.071442127227783,0.9177225828170776,0.0,150.0,-17.336555970000003
8501,88064,10,1376,0.5462946891784668,0.0003,3.4682652950286865,1375,-2.060026168823242,0.5947332382202148,0.0,150.0,-17.336555970000003
8501,88128,10,1377,0.5797852277755737,0.0003,2.0423812866210938,1376,-2.059988498687744,-1.7527987957000732,0.0,150.0,-17.336555970000003
8501,88192,10,1378,0.1815398931503296,0.0003,2.1544783115386963,1377,-2.0595180988311768,-1.9421316385269165,0.0,150.0,-17.336555970000003
8500,88256,10,1379,0.03513592481613159,0.0003,2.07554030418396,1378,-2.0627832412719727,-1.6069567203521729,0.0,150.0,-17.2888223
8500,88320,10,1380,0.8809105157852173,0.0003,1.7595398426055908,1379,-2.0614802837371826,0.65720534324646,0.0,150.0,-17.2888223
8501,88384,10,1381,0.7616187930107117,0.0003,0.6666150093078613,1380,-2.0614235401153564,-0.01225261390209198,0.0,150.0,-17.2888223
8501,88448,10,1382,0.675299882888794,0.0003,1.3796522617340088,1381,-2.0653271675109863,0.9912775158882141,0.0,150.0,-17.2888223
8501,88512,10,1383,0.8853488564491272,0.0003,0.8423839807510376,1382,-2.068272352218628,0.6144470572471619,0.0,150.0,-17.2888223
8501,88576,10,1384,0.9703714847564697,0.0003,0.26844924688339233,1383,-2.0749502182006836,-0.5472116470336914,0.0,150.0,-17.2888223
8502,88640,10,1385,0.3961464762687683,0.0003,9.021234512329102,1384,-2.070744276046753,3.0045406818389893,0.0,150.0,-17.2888223
8502,88704,10,1386,0.9724009037017822,0.0003,0.38345012068748474,1385,-2.0641746520996094,-0.6919873952865601,0.0,150.0,-17.2888223
8502,88768,10,1387,0.9532560110092163,0.0003,0.825812816619873,1386,-2.064793109893799,-1.2739893198013306,0.0,150.0,-17.2888223
8502,88832,10,1388,0.9586223363876343,0.0003,0.8703649640083313,1387,-2.0746402740478516,-1.588083267211914,0.0,150.0,-17.02122594
8502,88896,10,1389,0.991730809211731,0.0003,0.19968737661838531,1388,-2.0694687366485596,-0.025481384247541428,0.0,150.0,-17.02122594
8502,88960,10,1390,0.8490656614303589,0.0003,0.60552978515625,1389,-2.0670924186706543,-1.0221319198608398,0.0,150.0,-17.02122594
8502,89024,10,1391,0.815509021282196,0.0003,0.9541312456130981,1390,-2.065375566482544,0.3210071325302124,0.0,150.0,-17.02122594
8502,89088,10,1392,0.8622990846633911,0.0003,0.6670085787773132,1391,-2.0566205978393555,1.026710033416748,0.0,150.0,-17.02122594
8503,89152,10,1393,0.6124135851860046,0.0003,4.406939506530762,1392,-2.0614266395568848,1.4235360622406006,0.0,150.0,-17.02122594
8503,89216,10,1394,0.8457159996032715,0.0003,0.8856207132339478,1393,-2.0707390308380127,-0.3785953223705292,0.0,150.0,-17.02122594
8503,89280,10,1395,0.5672515630722046,0.0003,1.2058157920837402,1394,-2.0547690391540527,0.6824301481246948,0.0,150.0,-17.02122594
8503,89344,10,1396,0.8073280453681946,0.0003,0.794786810874939,1395,-2.059764862060547,-0.9082345962524414,0.0,150.0,-17.02122594
8503,89408,10,1397,0.7535287737846375,0.0003,1.0249319076538086,1396,-2.06630802154541,-1.4579384326934814,0.0,150.0,-16.730532840000002
8503,89472,10,1398,0.9661911129951477,0.0003,0.6215733885765076,1397,-2.0732338428497314,-0.4606642425060272,0.0,150.0,-16.730532840000002
8504,89536,10,1399,0.6093874573707581,0.0003,0.3620479702949524,1398,-2.067440986633301,-0.14743979275226593,0.0,150.0,-16.730532840000002
8504,89600,10,1400,0.7725978493690491,0.0003,0.9200215935707092,1399,-2.0625672340393066,-1.6337666511535645,0.0,150.0,-16.730532840000002
8504,89664,10,1401,0.43158847093582153,0.0003,2.47218656539917,1400,-2.0689449310302734,-0.5419584512710571,0.0,150.0,-16.730532840000002
8504,89728,10,1402,0.5027638077735901,0.0003,1.4672107696533203,1401,-2.074972629547119,-0.6684666872024536,0.0,150.0,-16.730532840000002
8504,89792,10,1403,0.6418650150299072,0.0003,1.2489029169082642,1402,-2.0703506469726562,1.3879631757736206,0.0,150.0,-16.730532840000002
8504,89856,10,1404,0.816118061542511,0.0003,0.3660407066345215,1403,-2.0782854557037354,-0.10405387729406357,0.0,150.0,-16.730532840000002
8505,89920,10,1405,0.8570235967636108,0.0003,0.41856884956359863,1404,-2.0653903484344482,-1.0004358291625977,0.0,150.0,-16.730532840000002
8505,89984,10,1406,0.6915121078491211,0.0003,0.5024069547653198,1405,-2.05491304397583,-1.36942720413208,0.0,150.0,-16.730532840000002
8506,90048,10,1407,0.26694804430007935,0.0003,0.39271217584609985,1406,-2.0529470443725586,-0.9936070442199707,0.0,150.0,-16.63970237
8506,90112,10,1408,0.9838034510612488,0.0003,0.512580394744873,1407,-2.0426199436187744,-1.1037940979003906,0.0,150.0,-16.63970237
8507,90176,10,1409,0.8114596605300903,0.0003,0.5198650360107422,1408,-2.0455310344696045,-1.2019212245941162,0.0,150.0,-16.63970237
8507,90240,10,1410,-0.02587711811065674,0.0003,3.538945198059082,1409,-2.0498738288879395,1.4792847633361816,0.0,150.0,-16.63970237
8506,90304,10,1411,0.5761364102363586,0.0003,1.7689597606658936,1410,-2.053863763809204,1.0369772911071777,0.0,150.0,-16.63970237
